id,sceneId,roomId,roomType,nOrigPersImgs,genPersImgIndices
scene_00018_r1845,scene_00018,1845,bathroom,4,504-575
scene_00018_r19450,scene_00018,19450,store room,4,576-647
scene_00018_r1169,scene_00018,1169,balcony,5,648-719
scene_00018_r354,scene_00018,354,bedroom,4,720-791
scene_00019_r1105,scene_00019,1105,kitchen,3,0-71
scene_00019_r358,scene_00019,358,bedroom,3,72-143
scene_00019_r527,scene_00019,527,living room,5,144-215
scene_00019_r1567,scene_00019,1567,undefined,3,216-287
scene_00019_r224,scene_00019,224,balcony,3,288-359
scene_00019_r564,scene_00019,564,bedroom,5,360-431
scene_00019_r1588,scene_00019,1588,undefined,3,432-503
scene_00019_r413,scene_00019,413,study,5,504-575
scene_00020_r281,scene_00020,281,living room,5,0-71
scene_00020_r820,scene_00020,820,kitchen,5,72-143
scene_00020_r732,scene_00020,732,bathroom,4,144-215
scene_00020_r1065,scene_00020,1065,bedroom,4,216-287
scene_00020_r662,scene_00020,662,bedroom,5,288-359
scene_00020_r953632,scene_00020,953632,store room,1,360-431
scene_00021_r225,scene_00021,225,bathroom,3,0-71
scene_00021_r159,scene_00021,159,living room,5,72-143
scene_00021_r324,scene_00021,324,bedroom,3,144-215
scene_00022_r141,scene_00022,141,kitchen,5,0-71
scene_00023_r547,scene_00023,547,undefined,0,0-71
scene_00023_r315,scene_00023,315,living room,5,72-143
scene_00023_r1240,scene_00023,1240,bathroom,4,144-215
scene_00024_r159,scene_00024,159,living room,4,0-71
scene_00024_r324,scene_00024,324,bedroom,4,72-143
scene_00024_r225,scene_00024,225,bathroom,5,144-215
scene_00025_r233,scene_00025,233,living room,5,0-71
scene_00026_r683208,scene_00026,683208,bathroom,5,0-71
scene_00026_r683296,scene_00026,683296,undefined,5,72-143
scene_00027_r813289,scene_00027,813289,living room,5,0-71
scene_00027_r819458,scene_00027,819458,bedroom,5,72-143
scene_00027_r822157,scene_00027,822157,bedroom,4,144-215
scene_00027_r820994,scene_00027,820994,balcony,1,216-287
scene_00027_r817436,scene_00027,817436,bedroom,5,288-359
scene_00028_r164165,scene_00028,164165,bathroom,1,0-71
scene_00028_r176077,scene_00028,176077,store room,2,72-143
scene_00028_r176145,scene_00028,176145,bedroom,4,144-215
scene_00028_r175067,scene_00028,175067,bathroom,3,216-287
scene_00028_r163527,scene_00028,163527,living room,5,288-359
scene_00029_r163527,scene_00029,163527,living room,5,0-71
scene_00029_r169029,scene_00029,169029,undefined,2,72-143
scene_00029_r164165,scene_00029,164165,bathroom,0,144-215
scene_00030_r735,scene_00030,735,bedroom,0,0-71
scene_00030_r436,scene_00030,436,bathroom,3,72-143
scene_00030_r584,scene_00030,584,living room,5,144-215
scene_00030_r857,scene_00030,857,bedroom,0,216-287
scene_00030_r159,scene_00030,159,kitchen,2,288-359
scene_00031_r1089,scene_00031,1089,undefined,5,0-71
scene_00032_r43832,scene_00032,43832,bedroom,4,0-71
scene_00032_r15139,scene_00032,15139,living room,5,72-143
scene_00032_r1578,scene_00032,1578,bathroom,3,144-215
scene_00032_r44629,scene_00032,44629,kitchen,5,216-287
scene_00032_r27551,scene_00032,27551,bedroom,5,288-359
scene_00032_r1690,scene_00032,1690,study,5,360-431
scene_00033_r271,scene_00033,271,kitchen,2,0-71
scene_00033_r2712712713815082,scene_00033,2712712713815082,bedroom,5,72-143
scene_00033_r385,scene_00033,385,living room,5,144-215
scene_00033_r2712712713811802,scene_00033,2712712713811802,bedroom,4,216-287
scene_00033_r2712712713815090,scene_00033,2712712713815090,bathroom,3,288-359
scene_00033_r260,scene_00033,260,study,5,360-431
scene_00034_r467,scene_00034,467,kitchen,4,0-71
scene_00034_r1138,scene_00034,1138,undefined,3,72-143
scene_00034_r1020,scene_00034,1020,undefined,2,144-215
scene_00034_r1579,scene_00034,1579,bathroom,3,216-287
scene_00034_r352,scene_00034,352,living room,5,288-359
scene_00034_r1361,scene_00034,1361,undefined,4,360-431
scene_00035_r611,scene_00035,611,living room,5,0-71
scene_00035_r380,scene_00035,380,bedroom,5,72-143
scene_00035_r1177,scene_00035,1177,corridor,3,144-215
scene_00035_r902,scene_00035,902,balcony,5,216-287
scene_00035_r748,scene_00035,748,kitchen,3,288-359
scene_00035_r445,scene_00035,445,bathroom,1,360-431
scene_00035_r343,scene_00035,343,study,5,432-503
scene_00036_r670864,scene_00036,670864,kitchen,4,0-71
scene_00036_r422,scene_00036,422,bedroom,5,72-143
scene_00036_r171,scene_00036,171,garden,5,144-215
scene_00036_r409,scene_00036,409,bedroom,4,216-287
scene_00036_r337,scene_00036,337,bedroom,5,288-359
scene_00036_r120,scene_00036,120,study,5,360-431
scene_00036_r335,scene_00036,335,bathroom,2,432-503
scene_00036_r420,scene_00036,420,living room,5,504-575
scene_00036_r379,scene_00036,379,bathroom,5,576-647
scene_00037_r141,scene_00037,141,undefined,5,0-71
scene_00038_r220842,scene_00038,220842,living room,5,0-71
scene_00038_r721734,scene_00038,721734,bedroom,4,72-143
scene_00038_r721194,scene_00038,721194,bedroom,3,144-215
scene_00038_r220845,scene_00038,220845,balcony,5,216-287
scene_00038_r220846,scene_00038,220846,bathroom,2,288-359
scene_00039_r3514,scene_00039,3514,bedroom,5,0-71
scene_00039_r161,scene_00039,161,kitchen,3,72-143
scene_00039_r1536,scene_00039,1536,bathroom,2,144-215
scene_00039_r4030,scene_00039,4030,bedroom,4,216-287
scene_00039_r2193,scene_00039,2193,bedroom,5,288-359
scene_00039_r831,scene_00039,831,living room,4,360-431
scene_00040_r3834,scene_00040,3834,balcony,2,0-71
scene_00040_r492,scene_00040,492,bathroom,4,72-143
scene_00040_r1546,scene_00040,1546,undefined,1,144-215
scene_00040_r1176,scene_00040,1176,bedroom,5,216-287
scene_00040_r1319,scene_00040,1319,bedroom,5,288-359
scene_00040_r12686,scene_00040,12686,balcony,1,360-431
scene_00040_r12401,scene_00040,12401,living room,5,432-503
scene_00040_r9697,scene_00040,9697,kitchen,4,504-575
scene_00041_r4275,scene_00041,4275,bedroom,2,0-71
scene_00041_r4713,scene_00041,4713,bedroom,4,72-143
scene_00041_r141,scene_00041,141,living room,4,144-215
scene_00041_r12482,scene_00041,12482,bathroom,4,216-287
scene_00042_r141,scene_00042,141,undefined,5,0-71
scene_00043_r856,scene_00043,856,bathroom,1,0-71
scene_00043_r377,scene_00043,377,living room,4,72-143
scene_00043_r984,scene_00043,984,bedroom,3,144-215
scene_00043_r1312,scene_00043,1312,bedroom,5,216-287
scene_00043_r1138,scene_00043,1138,bedroom,4,288-359
scene_00043_r3128,scene_00043,3128,balcony,0,360-431
scene_00043_r474,scene_00043,474,balcony,0,432-503
scene_00043_r732,scene_00043,732,kitchen,0,504-575
scene_00043_r1518,scene_00043,1518,bathroom,1,576-647
scene_00044_r369417,scene_00044,369417,undefined,4,0-71
scene_00044_r355463,scene_00044,355463,balcony,5,72-143
scene_00044_r385988,scene_00044,385988,undefined,5,144-215
scene_00044_r355465,scene_00044,355465,kitchen,4,216-287
scene_00044_r385805,scene_00044,385805,undefined,4,288-359
scene_00044_r355461,scene_00044,355461,bedroom,5,360-431
scene_00044_r369189,scene_00044,369189,undefined,5,432-503
scene_00044_r383902,scene_00044,383902,living room,5,504-575
scene_00045_r1492,scene_00045,1492,undefined,5,0-71
scene_00045_r1269,scene_00045,1269,undefined,5,72-143
scene_00045_r1201,scene_00045,1201,dining room,5,144-215
scene_00045_r1545,scene_00045,1545,undefined,5,216-287
scene_00046_r41196,scene_00046,41196,undefined,4,0-71
scene_00046_r37134,scene_00046,37134,undefined,5,72-143
scene_00046_r8239,scene_00046,8239,undefined,5,144-215
scene_00046_r5565,scene_00046,5565,undefined,5,216-287
scene_00046_r36917,scene_00046,36917,undefined,4,288-359
scene_00046_r36708,scene_00046,36708,undefined,5,360-431
scene_00046_r4435,scene_00046,4435,undefined,5,432-503
scene_00046_r8370,scene_00046,8370,undefined,5,504-575
scene_00047_r729585,scene_00047,729585,undefined,5,0-71
scene_00047_r737638,scene_00047,737638,undefined,5,72-143
scene_00047_r773704,scene_00047,773704,undefined,3,144-215
scene_00047_r773528,scene_00047,773528,undefined,5,216-287
scene_00047_r734440,scene_00047,734440,undefined,5,288-359
scene_00047_r719798,scene_00047,719798,undefined,4,360-431
scene_00047_r725887,scene_00047,725887,undefined,5,432-503
scene_00048_r1552,scene_00048,1552,balcony,3,0-71
scene_00048_r451,scene_00048,451,living room,4,72-143
scene_00048_r1131,scene_00048,1131,bedroom,5,144-215
scene_00048_r1383,scene_00048,1383,kitchen,4,216-287
scene_00048_r793,scene_00048,793,bathroom,4,288-359
scene_00048_r975,scene_00048,975,bedroom,5,360-431
scene_00049_r580,scene_00049,580,bedroom,5,0-71
scene_00049_r2115,scene_00049,2115,bathroom,3,72-143
scene_00049_r161,scene_00049,161,bedroom,5,144-215
scene_00049_r1061,scene_00049,1061,living room,4,216-287
scene_00049_r1857,scene_00049,1857,balcony,3,288-359
scene_00049_r4335,scene_00049,4335,study,5,360-431
scene_00049_r402,scene_00049,402,bathroom,5,432-503
scene_00049_r2321,scene_00049,2321,kitchen,4,504-575
scene_00050_r634,scene_00050,634,bedroom,4,0-71
scene_00050_r543,scene_00050,543,studio,2,72-143
scene_00050_r723,scene_00050,723,kitchen,2,144-215
scene_00050_r457107,scene_00050,457107,corridor,1,216-287
scene_00050_r264,scene_00050,264,living room,5,288-359
scene_00050_r385,scene_00050,385,bedroom,5,360-431
scene_00050_r460,scene_00050,460,balcony,2,432-503
scene_00050_r824,scene_00050,824,bathroom,1,504-575
scene_00051_r674588,scene_00051,674588,bedroom,4,0-71
scene_00051_r676491,scene_00051,676491,undefined,0,72-143
scene_00051_r673550,scene_00051,673550,undefined,2,144-215
scene_00051_r669188,scene_00051,669188,bathroom,1,216-287
scene_00051_r665928,scene_00051,665928,living room,5,288-359
scene_00052_r11139,scene_00052,11139,bedroom,5,0-71
scene_00052_r12875,scene_00052,12875,bathroom,1,72-143
scene_00052_r16625,scene_00052,16625,bedroom,3,144-215
scene_00052_r18003,scene_00052,18003,bathroom,3,216-287
scene_00052_r15864,scene_00052,15864,bedroom,5,288-359
scene_00052_r2201,scene_00052,2201,kitchen,4,360-431
scene_00052_r16720,scene_00052,16720,balcony,5,432-503
scene_00052_r161,scene_00052,161,living room,5,504-575
scene_00053_r642,scene_00053,642,bathroom,3,0-71
scene_00053_r396,scene_00053,396,living room,4,72-143
scene_00054_r466,scene_00054,466,bathroom,5,0-71
scene_00054_r395,scene_00054,395,kitchen,1,72-143
scene_00054_r652,scene_00054,652,living room,5,144-215
scene_00054_r192,scene_00054,192,bedroom,5,216-287
scene_00054_r735,scene_00054,735,balcony,5,288-359
scene_00054_r143,scene_00054,143,bedroom,5,360-431
scene_00055_r303,scene_00055,303,undefined,5,0-71
scene_00055_r236,scene_00055,236,undefined,5,72-143
scene_00055_r159,scene_00055,159,undefined,5,144-215
scene_00055_r490,scene_00055,490,undefined,4,216-287
scene_00056_r183,scene_00056,183,bedroom,5,0-71
scene_00056_r1242,scene_00056,1242,balcony,5,72-143
scene_00056_r748,scene_00056,748,balcony,4,144-215
scene_00056_r2133,scene_00056,2133,bathroom,2,216-287
scene_00056_r1902,scene_00056,1902,bedroom,5,288-359
scene_00056_r3096,scene_00056,3096,study,3,360-431
scene_00056_r327,scene_00056,327,bedroom,5,432-503
scene_00056_r1061,scene_00056,1061,living room,4,504-575
scene_00056_r2234,scene_00056,2234,kitchen,4,576-647
scene_00056_r1818,scene_00056,1818,bathroom,3,648-719
scene_00057_r870346,scene_00057,870346,bedroom,5,0-71
scene_00057_r870345,scene_00057,870345,living room,5,72-143
scene_00058_r201,scene_00058,201,bedroom,4,0-71
scene_00059_r857,scene_00059,857,bedroom,4,0-71
scene_00059_r159,scene_00059,159,kitchen,3,72-143
scene_00059_r735,scene_00059,735,bedroom,5,144-215
scene_00059_r436,scene_00059,436,bathroom,4,216-287
scene_00059_r584,scene_00059,584,living room,5,288-359
scene_00060_r161,scene_00060,161,balcony,0,0-71
scene_00060_r2030,scene_00060,2030,bedroom,5,72-143
scene_00060_r1265,scene_00060,1265,kitchen,5,144-215
scene_00060_r5272,scene_00060,5272,bathroom,2,216-287
scene_00060_r2254,scene_00060,2254,bedroom,5,288-359
scene_00060_r2621,scene_00060,2621,bathroom,4,360-431
scene_00060_r543,scene_00060,543,living room,5,432-503
scene_00060_r3231,scene_00060,3231,bedroom,5,504-575
scene_00061_r373759,scene_00061,373759,bedroom,5,0-71
scene_00061_r373761,scene_00061,373761,kitchen,5,72-143
scene_00061_r373757,scene_00061,373757,bedroom,5,144-215
scene_00061_r373762,scene_00061,373762,bathroom,5,216-287
scene_00061_r373758,scene_00061,373758,balcony,4,288-359
scene_00061_r373760,scene_00061,373760,bathroom,4,360-431
scene_00061_r373755,scene_00061,373755,living room,5,432-503
scene_00061_r375333,scene_00061,375333,bedroom,5,504-575
scene_00062_r770077,scene_00062,770077,corridor,2,0-71
scene_00062_r767695,scene_00062,767695,bathroom,3,72-143
scene_00062_r767531,scene_00062,767531,bedroom,5,144-215
scene_00063_r80282,scene_00063,80282,kitchen,1,0-71
scene_00063_r307395,scene_00063,307395,balcony,4,72-143
scene_00063_r80285,scene_00063,80285,bathroom,3,144-215
scene_00063_r80281,scene_00063,80281,bedroom,5,216-287
scene_00063_r80286,scene_00063,80286,store room,1,288-359
scene_00063_r80284,scene_00063,80284,bedroom,5,360-431
scene_00063_r80283,scene_00063,80283,study,5,432-503
scene_00063_r80280,scene_00063,80280,living room,5,504-575
scene_00064_r2812,scene_00064,2812,undefined,4,0-71
scene_00064_r143,scene_00064,143,living room,5,72-143
scene_00065_r1752,scene_00065,1752,bedroom,5,0-71
scene_00065_r2123,scene_00065,2123,bathroom,3,72-143
scene_00066_r36346,scene_00066,36346,balcony,1,0-71
scene_00066_r6879,scene_00066,6879,kitchen,4,72-143
scene_00066_r18586,scene_00066,18586,undefined,3,144-215
scene_00066_r25715,scene_00066,25715,undefined,0,216-287
scene_00066_r19685,scene_00066,19685,bedroom,3,288-359
scene_00066_r19319,scene_00066,19319,bathroom,1,360-431
scene_00066_r17078,scene_00066,17078,bedroom,5,432-503
scene_00066_r21675,scene_00066,21675,balcony,5,504-575
scene_00066_r8333,scene_00066,8333,undefined,2,576-647
scene_00066_r15944,scene_00066,15944,bathroom,3,648-719
scene_00066_r45977,scene_00066,45977,bathroom,4,720-791
scene_00066_r14720,scene_00066,14720,living room,5,792-863
scene_00066_r8826,scene_00066,8826,bathroom,5,864-935
scene_00066_r26165,scene_00066,26165,bedroom,5,936-1007
scene_00066_r17926,scene_00066,17926,undefined,0,1008-1079
scene_00066_r24071,scene_00066,24071,study,3,1080-1151
scene_00066_r62941,scene_00066,62941,store room,0,1152-1223
scene_00067_r1172,scene_00067,1172,bedroom,5,0-71
scene_00067_r2250,scene_00067,2250,bedroom,5,72-143
scene_00067_r311,scene_00067,311,living room,5,144-215
scene_00067_r391,scene_00067,391,kitchen,2,216-287
scene_00067_r835,scene_00067,835,bedroom,2,288-359
scene_00067_r2156,scene_00067,2156,balcony,1,360-431
scene_00067_r530,scene_00067,530,bathroom,3,432-503
scene_00068_r584,scene_00068,584,living room,5,0-71
scene_00068_r436,scene_00068,436,bathroom,2,72-143
scene_00068_r735,scene_00068,735,bedroom,5,144-215
scene_00068_r159,scene_00068,159,kitchen,2,216-287
scene_00068_r857,scene_00068,857,bedroom,5,288-359
scene_00069_r141,scene_00069,141,undefined,5,0-71
scene_00070_r1331,scene_00070,1331,bathroom,4,0-71
scene_00070_r455,scene_00070,455,balcony,2,72-143
scene_00070_r143,scene_00070,143,kitchen,5,144-215
scene_00070_r1436,scene_00070,1436,bedroom,2,216-287
scene_00070_r2106,scene_00070,2106,living room,5,288-359
scene_00070_r835,scene_00070,835,balcony,1,360-431
scene_00070_r740,scene_00070,740,bedroom,5,432-503
scene_00071_r2255,scene_00071,2255,undefined,2,0-71
scene_00071_r424,scene_00071,424,bathroom,4,72-143
scene_00071_r1353,scene_00071,1353,living room,5,144-215
scene_00071_r361,scene_00071,361,studio,4,216-287
scene_00071_r1487,scene_00071,1487,balcony,1,288-359
scene_00071_r950,scene_00071,950,undefined,5,360-431
scene_00071_r4168,scene_00071,4168,bedroom,5,432-503
scene_00071_r312,scene_00071,312,undefined,5,504-575
scene_00072_r3945,scene_00072,3945,bathroom,3,0-71
scene_00072_r1506,scene_00072,1506,kitchen,5,72-143
scene_00072_r214,scene_00072,214,bedroom,5,144-215
scene_00072_r1035,scene_00072,1035,study,5,216-287
scene_00072_r391,scene_00072,391,balcony,4,288-359
scene_00072_r143,scene_00072,143,living room,5,360-431
scene_00072_r579,scene_00072,579,bedroom,5,432-503
scene_00072_r4234,scene_00072,4234,bathroom,3,504-575
scene_00072_r1372,scene_00072,1372,bedroom,5,576-647
scene_00073_r3131,scene_00073,3131,undefined,2,0-71
scene_00073_r1466,scene_00073,1466,bathroom,3,72-143
scene_00073_r226,scene_00073,226,bedroom,5,144-215
scene_00073_r1038,scene_00073,1038,bathroom,4,216-287
scene_00073_r2064,scene_00073,2064,kitchen,2,288-359
scene_00073_r3783,scene_00073,3783,undefined,2,360-431
scene_00073_r329,scene_00073,329,balcony,5,432-503
scene_00073_r839,scene_00073,839,bedroom,4,504-575
scene_00073_r448,scene_00073,448,bedroom,5,576-647
scene_00073_r2254,scene_00073,2254,living room,5,648-719
scene_00074_r1414,scene_00074,1414,bedroom,5,0-71
scene_00074_r228,scene_00074,228,bedroom,5,72-143
scene_00074_r762,scene_00074,762,kitchen,5,144-215
scene_00074_r283,scene_00074,283,living room,5,216-287
scene_00074_r2557,scene_00074,2557,balcony,5,288-359
scene_00074_r375,scene_00074,375,bedroom,5,360-431
scene_00074_r642,scene_00074,642,balcony,5,432-503
scene_00074_r847,scene_00074,847,bathroom,3,504-575
scene_00074_r1142,scene_00074,1142,balcony,4,576-647
scene_00075_r189,scene_00075,189,bathroom,5,0-71
scene_00075_r151,scene_00075,151,kitchen,4,72-143
scene_00075_r249,scene_00075,249,living room,5,144-215
scene_00075_r208,scene_00075,208,bedroom,4,216-287
scene_00075_r247,scene_00075,247,balcony,5,288-359
scene_00075_r168,scene_00075,168,bedroom,5,360-431
scene_00075_r149,scene_00075,149,study,5,432-503
scene_00076_r668530,scene_00076,668530,study,3,0-71
scene_00076_r668579,scene_00076,668579,bathroom,4,72-143
scene_00076_r670776,scene_00076,670776,living room,4,144-215
scene_00077_r963,scene_00077,963,balcony,4,0-71
scene_00077_r512,scene_00077,512,undefined,4,72-143
scene_00077_r1081,scene_00077,1081,study,4,144-215
scene_00077_r11378,scene_00077,11378,undefined,5,216-287
scene_00077_r10811,scene_00077,10811,bedroom,5,288-359
scene_00077_r1448,scene_00077,1448,bathroom,5,360-431
scene_00077_r3603,scene_00077,3603,balcony,5,432-503
scene_00077_r1755,scene_00077,1755,bedroom,4,504-575
scene_00077_r1227,scene_00077,1227,store room,4,576-647
scene_00078_r512,scene_00078,512,living room,5,0-71
scene_00078_r963,scene_00078,963,corridor,3,72-143
scene_00078_r1081,scene_00078,1081,kitchen,1,144-215
scene_00078_r1448,scene_00078,1448,bathroom,4,216-287
scene_00078_r3603,scene_00078,3603,undefined,4,288-359
scene_00078_r1755,scene_00078,1755,undefined,5,360-431
scene_00078_r1227,scene_00078,1227,undefined,5,432-503
scene_00079_r335,scene_00079,335,dining room,3,0-71
scene_00079_r141,scene_00079,141,living room,5,72-143
scene_00080_r51423,scene_00080,51423,kitchen,4,0-71
scene_00080_r70368,scene_00080,70368,living room,5,72-143
scene_00080_r76353,scene_00080,76353,undefined,1,144-215
scene_00080_r81208,scene_00080,81208,bedroom,5,216-287
scene_00080_r16365,scene_00080,16365,undefined,2,288-359
scene_00080_r16364,scene_00080,16364,study,3,360-431
scene_00080_r75928,scene_00080,75928,undefined,4,432-503
scene_00080_r52421,scene_00080,52421,undefined,4,504-575
scene_00080_r81210,scene_00080,81210,bedroom,5,576-647
scene_00081_r262,scene_00081,262,bathroom,0,0-71
scene_00081_r361,scene_00081,361,living room,4,72-143
scene_00081_r141,scene_00081,141,kitchen,5,144-215
scene_00081_r3363,scene_00081,3363,balcony,4,216-287
scene_00081_r496,scene_00081,496,balcony,4,288-359
scene_00082_r166,scene_00082,166,undefined,3,0-71
scene_00082_r257,scene_00082,257,bathroom,5,72-143
scene_00082_r233,scene_00082,233,bathroom,4,144-215
scene_00082_r272,scene_00082,272,study,2,216-287
scene_00082_r302,scene_00082,302,living room,5,288-359
scene_00082_r195,scene_00082,195,bedroom,4,360-431
scene_00082_r259,scene_00082,259,bedroom,5,432-503
scene_00082_r287,scene_00082,287,undefined,3,504-575
scene_00082_r338,scene_00082,338,bedroom,5,576-647
scene_00082_r300,scene_00082,300,kitchen,2,648-719
scene_00082_r180,scene_00082,180,balcony,3,720-791
scene_00083_r3247,scene_00083,3247,living room,5,0-71
scene_00083_r3253,scene_00083,3253,kitchen,4,72-143
scene_00083_r3249,scene_00083,3249,bedroom,5,144-215
scene_00083_r3255,scene_00083,3255,bathroom,2,216-287
scene_00083_r3251,scene_00083,3251,bedroom,5,288-359
scene_00084_r511,scene_00084,511,balcony,3,0-71
scene_00084_r418,scene_00084,418,bedroom,5,72-143
scene_00084_r141,scene_00084,141,living room,5,144-215
scene_00084_r5750,scene_00084,5750,undefined,3,216-287
scene_00084_r359,scene_00084,359,bathroom,3,288-359
scene_00084_r302,scene_00084,302,bedroom,5,360-431
scene_00084_r679,scene_00084,679,balcony,1,432-503
scene_00085_r239,scene_00085,239,bedroom,4,0-71
scene_00085_r784,scene_00085,784,bedroom,4,72-143
scene_00085_r153,scene_00085,153,balcony,3,144-215
scene_00085_r697,scene_00085,697,bathroom,4,216-287
scene_00085_r296,scene_00085,296,bedroom,5,288-359
scene_00085_r495,scene_00085,495,living room,5,360-431
scene_00085_r596,scene_00085,596,kitchen,4,432-503
scene_00085_r897,scene_00085,897,balcony,5,504-575
scene_00085_r424,scene_00085,424,bathroom,4,576-647
