index,model_id,fine_grained_class,coarse_grained_class,empty_struct_obj,nyuv2_40class,wnsynsetid,wnsynsetkey,up,front,tags,variantIds,baseVariantId,isCornerPiece,setIds,componentIds
99,204,double_bed,bed,2,bed,n03225988,double_bed.n.01,,,__SYM_REFLECT_LR,,,,,
100,205,double_bed,bed,2,bed,n03225988,double_bed.n.01,,,__SYM_REFLECT_LR,,,,,
101,206,water_dispenser,kitchen_appliance,2,otherprop,n03210683,dispenser.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
102,207,wall_shelf,shelving,2,shelves,n04190052,shelf.n.01,,,,,,,,
103,208,hanger,hanger,2,cabinet,n03490884,hanger.n.02,,,__SYM_ROTATE_FRONT_2,,,,,
104,209,window,window,2,window,n04587648,window.n.01,,,__SYM_REFLECT_LR,,,,153,
105,210,window,window,2,window,n04587648,window.n.01,,,,,,,153,
106,211,window,window,2,window,n04587648,window.n.01,,,,,,,154,
107,212,window,window,2,window,n04587648,window.n.01,,,__SYM_REFLECT_LR,,,,154,
108,213,window,window,2,window,n04587648,window.n.01,,,,,,,154,
109,214,single_hinge_door,door,2,door,n03221720,door.n.01,"0,1,0","0,0,1",,"214,214_0",,,,
110,215,television,television,2,television,n04405907,television_receiver.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
111,216,television,television,2,television,n04405907,television_receiver.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
112,217,hanger,hanger,2,cabinet,n03490884,hanger.n.02,,,__SYM_ROTATE_UP_4,,,,,
113,218,stereo_set,music,2,otherprop,n04315948,stereo.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
114,219,dishwasher,kitchen_appliance,2,otherprop,n03207941,dishwasher.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
115,220,food_processor,kitchen_appliance,2,otherprop,n03378174,food_processor.n.01,,,,,,,,
116,221,coffee_machine,kitchen_appliance,2,otherprop,n03063338,coffee_maker.n.01,,,,,,,,
117,222,microwave,kitchen_appliance,2,otherprop,n03761084,microwave.n.02,"0,1,0","0,0,1",,,,,,
118,223,vacuum_cleaner,household_appliance,2,otherprop,n04517823,vacuum.n.04,,,,,,,,
119,224,iron,household_appliance,2,otherprop,n03584829,iron.n.04,,,__SYM_REFLECT_LR,,,,,
120,225,air_conditioner,air_conditioner,2,otherprop,n02686379,air_conditioner.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
121,226,pedestal_fan,fan,2,otherprop,n03320046,fan.n.01,,,,,,,,
122,227,air_conditioner,air_conditioner,2,otherprop,n02686379,air_conditioner.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
123,228,television,television,2,television,n04405907,television_receiver.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
124,229,towel_rack,bathroom_stuff,2,otherprop,n04459773,towel_rack.n.01,,,__SYM_REFLECT_LR,,,,,
125,230,heater,heater,2,otherprop,n03508101,heater.n.01,,,__SYM_REFLECT_LR,,,,,
126,232,kitchen_sink,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,1,
127,233,nightstand,stand,2,night_stand,n03015254,chest_of_drawers.n.01,,,__SYM_REFLECT_LR,,,,,
128,235,rug,rug,2,floor_mat,n04118021,rug.n.01,,,__SYM_ROTATE_UP_2,,,,,
129,236,picture_frame,picture_frame,2,picture,n03931765,picture_frame.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
130,237,plant,plant,2,otherprop,n00017222,plant.n.02,,,__SYM_ROTATE_UP_INF,,,,,
131,238,rug,rug,2,floor_mat,n04118021,rug.n.01,,,__SYM_ROTATE_UP_2,,,,,
132,239,mirror,mirror,2,mirror,n03773035,mirror.n.01,,,__SYM_REFLECT_LR,,,,,
133,240,floor_lamp,indoor_lamp,2,lamp,n03367059,floor_lamp.n.01,,,__SYM_REFLECT_LR,,,,,
134,241,range_hood,kitchen_appliance,2,otherprop,n04053677,range_hood.n.01,,,__SYM_REFLECT_LR,,,,3,
135,242,fireplace,fireplace,2,otherstructure,n03346455,fireplace.n.01,,,__SYM_REFLECT_LR,,,,,
136,243,bottle,kitchenware,2,otherprop,n02876657,bottle.n.01,,,__SYM_ROTATE_UP_INF,,,,,
137,244,glass,kitchenware,2,otherprop,n03438257,glass.n.02,,,__SYM_ROTATE_UP_INF,,,,,
138,245,cutting_board,kitchenware,2,otherprop,n03025513,chopping_board.n.01,,,,,,,,
139,246,single_hinge_door,door,2,door,n03221720,door.n.01,"0,1,0","0,0,1",,"246,246_0",,,,
140,247,single_hinge_door,door,2,door,n03221720,door.n.01,"0,1,0","0,0,1",,"247,247_0",,,,
141,248,shelving,shelving,2,shelves,n04190052,shelf.n.01,,,,,,,1,
142,249,straight_chair,chair,2,chair,n04331277,straight_chair.n.01,,,__SYM_REFLECT_LR,,,,,
143,250,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,1,
144,251,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,"__SYM_REFLECT_C2,__CORNER_C2",,,1,1,
145,252,dining_table,table,2,table,n03201208,dining_table.n.01,,,__SYM_ROTATE_UP_2,,,,,
146,253,stairs,stairs,1,floor,n04314914,step.n.04,,,,,,,,
147,254,stairs,stairs,1,floor,n04314914,step.n.04,,,,,,,,
148,255,straight_chair,chair,2,chair,n04331277,straight_chair.n.01,,,__SYM_REFLECT_LR,,,,,
149,256,table_lamp,indoor_lamp,2,lamp,n04380533,table_lamp.n.01,,,__SYM_REFLECT_LR,,,,,
150,257,picture_frame,picture_frame,2,picture,n03931765,picture_frame.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
151,258,vase,vase,2,otherprop,n04522168,vase.n.01,,,__SYM_ROTATE_UP_INF,,,,,
152,259,sofa,sofa,2,sofa,n04256520,sofa.n.01,,,__SYM_REFLECT_LR,,,,101,
153,260,sofa,sofa,2,sofa,n04256520,sofa.n.01,,,__SYM_REFLECT_LR,,,,102,
154,261,armchair,chair,2,sofa,n03262932,easy_chair.n.01,,,__SYM_REFLECT_LR,,,,101,
155,262,armchair,chair,2,sofa,n03262932,easy_chair.n.01,,,__SYM_REFLECT_LR,,,,102,
156,263,ironing_board,household_appliance,2,otherprop,n03586090,ironing_board.n.01,,,__SYM_REFLECT_FB_APPROX,,,,,
157,264,range_oven,kitchen_appliance,2,otherprop,n04330340,stove.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
158,265,beer,kitchenware,2,otherprop,n07886849,beer.n.01,,,__SYM_ROTATE_UP_2,,,,,
159,266,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,50,
160,267,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,,,,,,,50,
161,268,shelving,shelving,2,shelves,n04190052,shelf.n.01,,,"__CORNER_C2,__SYM_REFLECT_C2",,,1,50,
162,269,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,,,"__SYM_REFLECT_C2_APPROX,__CORNER_C2",,,1,50,
163,270,bunker_bed,bed,2,bed,n02818832,bed.n.01,,,,,,,51,
164,271,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,,,,,,,51,
165,272,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,51,
166,273,desk,desk,2,desk,n03179701,desk.n.01,,,,,,,51,
167,274,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,51,
168,275,curtain,curtain,2,curtain,n03151077,curtain.n.01,,,__SYM_REFLECT_LR,,,,,
169,276,blinds,curtain,2,blinds,n03151077,curtain.n.01,,,__SYM_REFLECT_LR,,,,,
170,277,straight_chair,chair,2,chair,n04331277,straight_chair.n.01,,,__SYM_REFLECT_LR,,,,,
171,278,loudspeaker,music,2,otherprop,n03691459,loudspeaker.n.01,,,__SYM_REFLECT_LR,,,,,
172,279,switch,switch,2,night_stand,n04372370,switch.n.01,,,__SYM_REFLECT_LR,,,,,
173,280,switch,switch,2,picture,n04372370,switch.n.01,,,__SYM_REFLECT_LR,,,,,
174,281,short_kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,2,
175,282,short_kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,2,
176,283,range_oven,kitchen_cabinet,2,counter,n04330340,stove.n.01,,,__SYM_REFLECT_LR_APPROX,,,,2,
177,284,short_kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,"__SYM_REFLECT_C2,__CORNER_C2",,,1,2,
178,285,kitchen_sink,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,2,
179,286,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,2,
180,287,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,2,
181,288,tall_kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,2,
182,289,tall_kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,2,
183,290,short_kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,__SEC_END,,,,2,
184,291,short_kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,__SEC_END,,,,2,
185,292,shoes_cabinet,shoes_cabinet,2,cabinet,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,,
186,293,shelving,shelving,2,shelves,n04190052,shelf.n.01,,,__SYM_ROTATE_UP_2_APPROX,,,,,
187,294,desk,desk,2,desk,n03179701,desk.n.01,,,"__SYM_REFLECT_C1_APPROX,__CORNER_C1",,,1,149,
188,295,kitchen_sink,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,,,__SYM_REFLECT_LR,,,,2,
189,311,nightstand,stand,2,night_stand,n03015254,chest_of_drawers.n.01,,,__SYM_REFLECT_LR,,,,149,
190,312,nightstand,stand,2,night_stand,n03015254,chest_of_drawers.n.01,,,__SYM_REFLECT_LR,,,,,
191,313,clock,clock,2,otherprop,n03046257,clock.n.01,,,,,,,,
192,314,mirror,mirror,2,mirror,n03773035,mirror.n.01,,,,,,,,
193,315,nightstand,stand,2,night_stand,n03015254,chest_of_drawers.n.01,,,__SYM_REFLECT_LR,,,,,
194,316,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,otherprop,n02933112,cabinet.n.01,,,,,,,155,
195,317,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,otherprop,n02933112,cabinet.n.01,,,,,,,155,
196,318,nightstand,stand,2,night_stand,n03015254,chest_of_drawers.n.01,,,__SYM_REFLECT_LR,,,,,
197,319,books,books,2,books,n02870526,book.n.11,,,,,,,,
198,320,books,books,2,books,n02870526,book.n.11,,,,,,,,
199,321,sofa,sofa,2,sofa,n04256520,sofa.n.01,,,__SYM_REFLECT_LR,,,,,
200,322,toy,toy,2,otherprop,n03964744,plaything.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
201,323,person,person,2,person,n05217688,person.n.02,"0,1,0","0,0,-1","__pose_sit,__SYM_REFLECT_LR_APPROX","323,324,325,333,346",,,,
202,324,person,person,2,person,n05217688,person.n.02,,,"__pose_stand,__SYM_REFLECT_LR_APPROX","323,324,325,333,346",,,,
203,325,person,person,2,person,n05217688,person.n.02,"0,1,0","-1,0,0","__pose_lie,__SYM_REFLECT_LR_APPROX","323,324,325,333,346",,,,
204,326,double_hinge_door,door,2,door,n03221720,door.n.01,"0,1,0","0,0,1",__SYM_REFLECT_LR_APPROX,"326,327,331",,,,
205,327,double_hinge_door,door,2,door,n03221720,door.n.01,,,__SYM_REFLECT_LR_APPROX,"326,327,331",,,,
206,328,partition,partition,1,otherstructure,n03894379,partition.n.01,,,__SYM_ROTATE_UP_2,,,,172,
207,329,partition,partition,1,otherstructure,n03894379,partition.n.01,,,__SYM_ROTATE_UP_2,,,,172,
208,330,partition,partition,1,otherstructure,n03894379,partition.n.01,,,__SYM_ROTATE_UP_2,,,,172,
209,331,double_hinge_door,door,2,door,n03221720,door.n.01,"0,1,0","0,0,1",,"326,327,331",,,,
210,333,person,person,2,person,n05217688,person.n.02,"0,1,0","0,0,-1","__pose_sit,__SYM_REFLECT_LR_APPROX","323,324,325,333,346",,,,
211,334,fireplace,fireplace,2,otherstructure,n03346455,fireplace.n.01,,,__SYM_REFLECT_LR,,,,,
212,335,office_chair,chair,2,chair,n04373704,swivel_chair.n.01,,,__SYM_REFLECT_LR,,,,,
213,336,chair,chair,2,chair,n4388537,tablet-armed_chair.n.01,,,__SYM_REFLECT_LR,,,,,
214,337,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,,,__SYM_REFLECT_LR,,,,,
215,338,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,,,__SYM_REFLECT_LR,,,,,
216,339,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,,,__SYM_REFLECT_LR,,,,,
217,340,chessboard,toy,2,otherprop,n03014317,chessboard.n.01,,,__SYM_ROTATE_UP_4,,,,,
218,341,fish_tank,toy,2,otherprop,n02732072,aquarium.n.01,,,__SYM_REFLECT_LR,,,,,
219,342,fishbowl,toy,2,otherprop,n03350204,fishbowl.n.02,,,__SYM_ROTATE_UP_3,,,,,
220,343,kettle,kitchenware,2,otherprop,n03612814,kettle.n.01,,,__SYM_REFLECT_LR,,,,,
221,344,kettle,kitchenware,2,otherprop,n03612814,kettle.n.01,,,__SYM_REFLECT_LR,,,,,
222,345,playstation,toy,2,otherprop,n03964744,plaything.n.01,,,,,,,,
223,346,person,person,2,person,n05217688,person.n.02,"0,1,0","-1,0,0","__pose_lie,__SYM_REFLECT_LR_APPROX","323,324,325,333,346",,,,
224,347,armchair,chair,2,chair,n02738535,armchair.n.01,,,__SYM_REFLECT_LR,,,,,
225,348,armchair,chair,2,chair,n02738535,armchair.n.01,,,__SYM_REFLECT_LR,,,,,
226,349,armchair,chair,2,chair,n02738535,armchair.n.01,,,__SYM_REFLECT_LR,,,,110,
227,350,sofa,sofa,2,sofa,n04256520,sofa.n.01,,,__SYM_REFLECT_LR,,,,,
228,351,armchair,chair,2,chair,n02738535,armchair.n.01,,,__SYM_REFLECT_LR,,,,,
229,352,armchair,chair,2,chair,n02738535,armchair.n.01,,,__SYM_REFLECT_LR,,,,,
230,353,toy,toy,2,otherprop,n03964744,plaything.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
231,354,headstone,headstone,2,otherprop,n03455488,gravestone.n.01,,,,,,,,
232,355,coffin,coffin,2,sofa,n03064758,coffin.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
233,356,toy,toy,2,otherprop,n03964744,plaything.n.01,,,__SYM_REFLECT_LR,,,,,
234,357,toy,toy,2,otherprop,n03964744,plaything.n.01,,,__SYM_REFLECT_LR,,,,,
235,358,toy,toy,2,otherprop,n03964744,plaything.n.01,,,__SYM_REFLECT_LR,,,,,
236,359,toy,toy,2,otherprop,n03964744,plaything.n.01,,,__SYM_ROTATE_UP_INF,,,,,
237,360,sofa,sofa,2,otherprop,n04256520,sofa.n.01,,,__SYM_REFLECT_LR_APPROX,,,,,
238,361,garage_door,garage_door,2,door,,,,,__SYM_REFLECT_LR,"361,361_0",,,,
239,362,decoration,decoration,2,otherprop,n03169390,decoration.n.01,,,,,,,,
240,363,motorcycle,vehicle,2,otherprop,n03790512,motorcycle.n.01,"0,1,0","0,0,-1",__SYM_REFLECT_LR_APPROX,,,,,
241,364,car,vehicle,2,otherprop,n02958343,car.n.01,"0,1,0","0,0,-1",__SYM_REFLECT_LR_APPROX,,,,,
242,365,column,column,1,wall,n03074380,column.n.06,,,__SYM_ROTATE_UP_4,,,,,
243,366,column,column,1,wall,n03074380,column.n.06,,,__SYM_ROTATE_UP_INF,,,,,
244,367,column,column,1,wall,n03074380,column.n.06,,,__SYM_ROTATE_UP_4,,,,,
245,368,fence,fence,2,door,n03327234,fence.n.01,,,__SYM_REFLECT_FB,,,,177,
246,369,fence,fence,2,door,n03327234,fence.n.01,,,__SYM_REFLECT_FB,,,,177,
247,370,fence,fence,2,door,n03327234,fence.n.01,,,__SYM_REFLECT_FB,,,,178,
248,371,fence,fence,2,door,n03327234,fence.n.01,,,__SYM_REFLECT_FB,,,,178,
249,372,fence,fence,2,door,n03327234,fence.n.01,,,__SYM_REFLECT_FB,,,,179,
250,373,fence,fence,2,door,n03327234,fence.n.01,,,__SYM_REFLECT_FB,,,,179,
251,374,fence,fence,2,door,n03327234,fence.n.01,,,__SYM_ROTATE_UP_2,,,,179,
